"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX2676390","GSM2551413: 52A Old HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074895","","2110.46","1","30558187","3116935074","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676389","GSM2551412: 51B Old HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074894","","1928.25","1","27878909","2843648718","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676388","GSM2551411: 51A Old HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074893","","2159.98","1","31239624","3186441648","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676387","GSM2551410: 50B Old Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074892","","2083.71","1","30141614","3074444628","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676386","GSM2551409: 50A Old Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074891","","2159.82","1","31235323","3186002946","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676385","GSM2551408: 4B Old HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074890","","1461.34","1","23269252","2373463704","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676384","GSM2551407: 4A Old HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074889","","1499.29","1","23820496","2429690592","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676383","GSM2551406: 49B Old Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074888","","1787.66","1","26011707","2653194114","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676382","GSM2551405: 49A Old Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074887","","1931.49","1","28147516","2871046632","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676381","GSM2551404: 48C Old Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074885","","2159.75","1","31561836","3219307272","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676380","GSM2551403: 48B Old Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074886","","1721.8","1","25032826","2553348252","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676379","GSM2551402: 47B Old HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074884","","1776.93","1","25866398","2638372596","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676378","GSM2551401: 47A Old HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074882","","2151.23","1","31220859","3184527618","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676377","GSM2551400: 46C Old Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074883","","2196.58","1","32010862","3265107924","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676376","GSM2551399: 46B Old Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074880","","2253.74","1","32653647","3330671994","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676375","GSM2551398: 45B Old HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074881","","1094.33","1","17268122","1761348444","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676374","GSM2551397: 45A Old HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074879","","1892.79","1","29727584","3032213568","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676373","GSM2551396: 44B Old Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074878","","1906.18","1","27778032","2833359264","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676372","GSM2551395: 44A Old Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074877","","2705.76","1","39524527","4031501754","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676371","GSM2551394: 43B Old Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074876","","1610.74","1","24890907","2538872514","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676370","GSM2551393: 43A Old Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074875","","1160.21","1","17886086","1824380772","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676369","GSM2551392: 42B Old HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074874","","1284.89","1","20023943","2042442186","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676368","GSM2551391: 42A Old HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074873","","1813.44","1","28028069","2858863038","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676367","GSM2551390: 41C Young Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074871","","2593.85","1","37747761","3850271622","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676366","GSM2551389: 41B Young Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074870","","1811.87","1","26348814","2687579028","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676365","GSM2551388: 40B Young HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074872","","1487.22","1","21651032","2208405264","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676364","GSM2551387: 40A Young HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074869","","1510.25","1","22030982","2247160164","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676363","GSM2551386: 3B Young Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074868","","1188.15","1","18869911","1924730922","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676362","GSM2551385: 3A Young Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074867","","1154.2","1","18364642","1873193484","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676361","GSM2551384: 39B Young HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074866","","1798.01","1","26150887","2667390474","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676360","GSM2551383: 39A Young HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074864","","2127.58","1","30867109","3148445118","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676359","GSM2551382: 38B Young Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074865","","1290.69","1","19253011","1963807122","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676358","GSM2551381: 38A Young Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074862","","1852.1","1","27585926","2813764452","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676357","GSM2551380: 37C Old Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074863","","1436.45","1","22407147","2285528994","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676356","GSM2551379: 37B Old Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074861","","1243.22","1","19202638","1958669076","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676355","GSM2551378: 36C Young Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074859","","2010.43","1","30008208","3060837216","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676354","GSM2551377: 36B Young Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074858","","1493.71","1","22303568","2274963936","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676353","GSM2551376: 35B Young HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074860","","1136.57","1","16956905","1729604310","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676352","GSM2551375: 35A Young HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074857","","1301.59","1","19445787","1983470274","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676351","GSM2551374: 34B Old Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074856","","1379.97","1","21248671","2167364442","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676350","GSM2551373: 34A Old Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074855","","1760.21","1","27169296","2771268192","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676349","GSM2551372: 33B Young Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074854","","1879.91","1","28009272","2856945744","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676348","GSM2551371: 33A Young Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074853","","2210.35","1","33080835","3374245170","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676347","GSM2551370: 32B Young HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074852","","1928.12","1","28201697","2876573094","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676346","GSM2551369: 32A Young HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074850","","1758.5","1","25696191","2621011482","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676345","GSM2551368: 31C Young Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074851","","1894.51","1","27701566","2825559732","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676344","GSM2551367: 31B Young Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074848","","2040.35","1","29754651","3034974402","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676343","GSM2551366: 30B Young Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074849","","1986.05","1","29762753","3035800806","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676342","GSM2551365: 30A Young Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074847","","1708.16","1","25642965","2615582430","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676341","GSM2551364: 2C Young Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074846","","599.6","1","9615123","980742546","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676340","GSM2551363: 2B Young Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074844","","1251.79","1","19938399","2033716698","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676339","GSM2551362: 29B Young Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074845","","1809.85","1","26475218","2700472236","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676338","GSM2551361: 29A Young Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074843","","1610.66","1","23451138","2392016076","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676337","GSM2551360: 28B Old Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074841","","1898.83","1","28571113","2914253526","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676336","GSM2551359: 28A Old Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074840","","1659.16","1","24855453","2535256206","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676335","GSM2551358: 27B Young Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074842","","2088.85","1","31257765","3188292030","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676334","GSM2551357: 26B Young HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074839","","2120.65","1","30910495","3152870490","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676333","GSM2551356: 26A Young HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074838","","2448.04","1","35709662","3642385524","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676332","GSM2551355: 25B Young Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074837","","1304.84","1","20491270","2090109540","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676331","GSM2551354: 25A Young Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074836","","1487.88","1","23427277","2389582254","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676330","GSM2551353: 24B Young HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074835","","1401.73","1","20927537","2134608774","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676329","GSM2551352: 24A Young HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074834","","2149.12","1","32160166","3280336932","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
